24;Centre-Val de Loire;28;31575
75;Nouvelle-Aquitaine;40;31517
75;Nouvelle-Aquitaine;24;31505
11;Île-de-France;91;31488
11;Île-de-France;94;31416
01;Guadeloupe;971;31338
32;Hauts-de-France;62;31337
11;Île-de-France;95;31167
32;Hauts-de-France;62;31080
11;Île-de-France;91;30962
84;Auvergne-Rhône-Alpes;69;30857
11;Île-de-France;92;30797
11;Île-de-France;94;30793
28;Normandie;76;30588
11;Île-de-France;94;30524
44;Grand Est;54;30502
84;Auvergne-Rhône-Alpes;69;30423
84;Auvergne-Rhône-Alpes;73;30377
11;Île-de-France;77;30352
11;Île-de-France;92;30286
84;Auvergne-Rhône-Alpes;69;30275
11;Île-de-France;93;30227
84;Auvergne-Rhône-Alpes;38;30178
32;Hauts-de-France;59;29995
11;Île-de-France;93;29978
93;Provence-Alpes-Côte d'Azur;84;29856
28;Normandie;76;29766
11;Île-de-France;93;29728
11;Île-de-France;95;29614
11;Île-de-France;91;29558
11;Île-de-France;92;29503
93;Provence-Alpes-Côte d'Azur;84;29498
32;Hauts-de-France;02;29417
11;Île-de-France;94;29407
11;Île-de-France;95;29400
11;Île-de-France;94;29295
11;Île-de-France;95;29216
11;Île-de-France;92;29192
28;Normandie;76;29180
11;Île-de-France;91;29132
11;Île-de-France;91;29118
11;Île-de-France;91;29040
93;Provence-Alpes-Côte d'Azur;06;28942
11;Île-de-France;78;28839
93;Provence-Alpes-Côte d'Azur;06;28831
11;Île-de-France;92;28607
11;Île-de-France;78;28558
52;Pays de la Loire;49;28554
84;Auvergne-Rhône-Alpes;38;28399
84;Auvergne-Rhône-Alpes;69;28249
75;Nouvelle-Aquitaine;24;28166
11;Île-de-France;92;28148
76;Occitanie;34;28120
75;Nouvelle-Aquitaine;33;28092
32;Hauts-de-France;59;28027
84;Auvergne-Rhône-Alpes;15;27659
52;Pays de la Loire;44;27591
11;Île-de-France;94;27556
11;Île-de-France;95;27519
44;Grand Est;67;27505
11;Île-de-France;77;27299
28;Normandie;61;27221
11;Île-de-France;95;27118
24;Centre-Val de Loire;18;27036
01;Guadeloupe;971;27023
76;Occitanie;31;27008
93;Provence-Alpes-Côte d'Azur;84;26985
11;Île-de-France;94;26901
75;Nouvelle-Aquitaine;17;26890
84;Auvergne-Rhône-Alpes;69;26838
93;Provence-Alpes-Côte d'Azur;06;26787
11;Île-de-France;78;26781
03;Guyane;973;26726
11;Île-de-France;91;26702
27;Bourgogne-Franche-Comté;89;26688
11;Île-de-France;93;26640
52;Pays de la Loire;44;26618
11;Île-de-France;94;26575
11;Île-de-France;95;26556
11;Île-de-France;95;26541
75;Nouvelle-Aquitaine;33;26525
11;Île-de-France;91;26520
11;Île-de-France;77;26507
76;Occitanie;34;26263
11;Île-de-France;93;26262
32;Hauts-de-France;62;26260
52;Pays de la Loire;49;26239
93;Provence-Alpes-Côte d'Azur;13;26217
28;Normandie;76;26175
03;Guyane;973;26170
32;Hauts-de-France;02;26031
